,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-L/100,highway-mpg,price,horsepower-binned
22,1,118,dodge,gas,std,two,hatchback,fwd,front,93.7,-1.3576134056224138,63.8,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500,7.580645161290323,38,6377.0,Low
23,1,118,dodge,gas,turbo,two,hatchback,fwd,front,93.7,-1.3576134056224138,63.8,50.8,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500,9.791666666666666,30,7957.0,Low
24,1,148,dodge,gas,std,four,hatchback,fwd,front,93.7,-1.3576134056224138,63.8,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500,7.580645161290323,38,6229.0,Low
25,1,148,dodge,gas,std,four,sedan,fwd,front,93.7,-1.3576134056224138,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500,7.580645161290323,38,6692.0,Low
26,1,148,dodge,gas,std,four,sedan,fwd,front,93.7,-1.3576134056224138,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500,7.580645161290323,38,7609.0,Low
27,1,148,dodge,gas,turbo,104.25615763546799,sedan,fwd,front,93.7,-1.3576134056224138,63.8,50.6,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500,9.791666666666666,30,8558.0,Low
28,-1,110,dodge,gas,std,four,wagon,fwd,front,103.3,0.044639606679512014,64.6,59.8,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88.0,5000,9.791666666666666,30,8921.0,Low
29,3,145,dodge,gas,turbo,two,hatchback,fwd,front,95.9,-0.06883751570330415,66.3,50.2,2811,ohc,four,156,mfi,3.60,3.90,7.0,145.0,5000,12.368421052631579,24,12964.0,Medium
30,2,137,honda,gas,std,two,hatchback,fwd,front,86.6,-2.3870130158093783,63.9,50.8,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58.0,4800,4.795918367346939,54,6479.0,Low
31,2,137,honda,gas,std,two,hatchback,fwd,front,86.6,-2.3870130158093783,63.9,50.8,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000,7.580645161290323,38,6855.0,Low
32,1,101,honda,gas,std,two,hatchback,fwd,front,93.7,-1.9493155437613776,64.0,52.6,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60.0,5500,6.184210526315789,42,5399.0,Low
33,1,101,honda,gas,std,two,hatchback,fwd,front,93.7,-1.9493155437613776,64.0,52.6,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000,7.833333333333333,34,6529.0,Low
34,1,101,honda,gas,std,two,hatchback,fwd,front,93.7,-1.9493155437613776,64.0,52.6,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000,7.833333333333333,34,7129.0,Low
35,0,110,honda,gas,std,four,sedan,fwd,front,96.5,-0.8631773723830061,64.0,54.5,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000,7.833333333333333,34,7295.0,Low
36,0,78,honda,gas,std,four,wagon,fwd,front,96.5,-1.3738244231056742,63.9,58.3,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76.0,6000,7.833333333333333,34,7295.0,Low
37,0,106,honda,gas,std,two,hatchback,fwd,front,96.5,-0.5308515139761915,65.2,53.3,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800,8.703703703703704,33,7895.0,Low
38,0,106,honda,gas,std,two,hatchback,fwd,front,96.5,-0.5308515139761915,65.2,53.3,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800,8.703703703703704,33,9095.0,Low
39,0,85,honda,gas,std,four,sedan,fwd,front,96.5,0.10948367661254929,65.2,54.1,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800,8.703703703703704,33,8845.0,Low
40,0,85,honda,gas,std,four,sedan,fwd,front,96.5,0.10948367661254929,62.5,54.1,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800,8.703703703703704,33,10295.0,Low
41,0,85,honda,gas,std,four,sedan,fwd,front,96.5,0.10948367661254929,65.2,54.1,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101.0,5800,9.791666666666666,28,12945.0,Low
42,1,107,honda,gas,std,two,sedan,fwd,front,96.5,-0.40116337411011876,66.0,51.0,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100.0,5500,9.4,31,10345.0,Low
43,0,140,isuzu,gas,std,four,sedan,rwd,front,94.3,-0.27147523424404424,61.8,53.5,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78.0,4800,9.791666666666666,29,6785.0,Low
44,1,140,isuzu,gas,std,two,sedan,fwd,front,94.5,-1.4710905280052282,63.6,52.0,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400,6.184210526315789,43,104.25615763546799,Low
45,0,140,isuzu,gas,std,four,sedan,fwd,front,94.5,-1.4710905280052282,63.6,52.0,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400,6.184210526315789,43,104.25615763546799,Low
46,2,140,isuzu,gas,std,two,hatchback,rwd,front,96.0,-0.11747056815308117,65.2,51.4,2734,ohc,four,119,spfi,3.43,3.23,9.2,90.0,5000,9.791666666666666,29,11048.0,Low
47,0,145,jaguar,gas,std,four,sedan,rwd,front,113.0,2.0710167920869202,69.6,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176.0,4750,15.666666666666666,19,32250.0,Medium
48,0,140,jaguar,gas,std,four,sedan,rwd,front,113.0,2.0710167920869202,69.6,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176.0,4750,15.666666666666666,19,35550.0,Medium
49,0,140,jaguar,gas,std,two,sedan,rwd,front,102.0,1.4306816014981796,70.6,47.8,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262.0,5000,18.076923076923077,17,36000.0,High
50,1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,-1.211714248273081,64.2,54.1,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000,7.833333333333333,31,5195.0,Low
51,1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,-1.211714248273081,64.2,54.1,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000,7.580645161290323,38,6095.0,Low
52,1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,-1.211714248273081,64.2,54.1,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000,7.580645161290323,38,6795.0,Low
53,1,113,mazda,gas,std,four,sedan,fwd,front,93.1,-0.5875900751675986,64.2,54.1,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000,7.580645161290323,38,6695.0,Low
54,1,113,mazda,gas,std,four,sedan,fwd,front,93.1,-0.5875900751675986,64.2,54.1,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68.0,5000,7.580645161290323,38,7395.0,Low
55,3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,-0.409268882851747,65.7,49.6,2380,rotor,two,70,4bbl,104.25615763546799,104.25615763546799,9.4,101.0,6000,13.823529411764707,23,10945.0,Low
56,3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,-0.409268882851747,65.7,49.6,2380,rotor,two,70,4bbl,104.25615763546799,104.25615763546799,9.4,101.0,6000,13.823529411764707,23,11845.0,Low
57,3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,-0.409268882851747,65.7,49.6,2385,rotor,two,70,4bbl,104.25615763546799,104.25615763546799,9.4,101.0,6000,13.823529411764707,23,13645.0,Low
58,3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,-0.409268882851747,65.7,49.6,2500,rotor,two,80,mpfi,104.25615763546799,104.25615763546799,9.4,135.0,6000,14.6875,23,15645.0,Medium
59,1,129,mazda,gas,std,two,hatchback,fwd,front,98.8,0.3040158864116611,66.5,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800,9.038461538461538,32,8845.0,Low
60,0,115,mazda,gas,std,four,sedan,fwd,front,98.8,0.3040158864116611,66.5,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800,9.038461538461538,32,8495.0,Low
61,1,129,mazda,gas,std,two,hatchback,fwd,front,98.8,0.3040158864116611,66.5,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800,9.038461538461538,32,10595.0,Low
62,0,115,mazda,gas,std,four,sedan,fwd,front,98.8,0.3040158864116611,66.5,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800,9.038461538461538,32,10245.0,Low
63,0,140,mazda,diesel,std,104.25615763546799,sedan,fwd,front,98.8,0.3040158864116611,66.5,55.5,2443,ohc,four,122,idi,3.39,3.39,22.7,64.0,4650,6.527777777777778,42,10795.0,Low
64,0,115,mazda,gas,std,four,hatchback,fwd,front,98.8,0.3040158864116611,66.5,55.5,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800,9.038461538461538,32,11245.0,Low
65,0,118,mazda,gas,std,four,sedan,rwd,front,104.9,0.07706164164603065,66.1,54.4,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120.0,5000,12.368421052631579,27,18280.0,Low
66,0,140,mazda,diesel,std,four,sedan,rwd,front,104.9,0.07706164164603065,66.1,54.4,2700,ohc,four,134,idi,3.43,3.64,22.0,72.0,4200,7.580645161290323,39,18344.0,Low
67,-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,110.0,1.365837531565144,70.3,56.5,3515,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350,10.681818181818182,25,25552.0,Low
68,-1,93,mercedes-benz,diesel,turbo,four,wagon,rwd,front,110.0,1.365837531565144,70.3,58.7,3750,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350,10.681818181818182,25,28248.0,Low
69,0,93,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,106.7,1.0902502343497347,70.3,54.9,3495,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350,10.681818181818182,25,28176.0,Low
70,-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,115.6,2.314182054335809,71.7,56.3,3770,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350,10.681818181818182,25,31600.0,Low
71,-1,140,mercedes-benz,gas,std,four,sedan,rwd,front,115.6,2.314182054335809,71.7,56.5,3740,ohcv,eight,234,mpfi,3.46,3.10,8.3,155.0,4750,14.6875,18,34184.0,Medium
72,3,142,mercedes-benz,gas,std,two,convertible,rwd,front,96.6,0.5066536049524031,70.5,50.8,3685,ohcv,eight,234,mpfi,3.46,3.10,8.3,155.0,4750,14.6875,18,35056.0,Medium
73,0,140,mercedes-benz,gas,std,four,sedan,rwd,front,120.9,2.75998503512544,71.7,56.7,3900,ohcv,eight,308,mpfi,3.80,3.35,8.0,184.0,4500,16.785714285714285,16,40960.0,Medium
74,1,140,mercedes-benz,gas,std,two,hardtop,rwd,front,112.0,2.0385947571204017,72.0,55.4,3715,ohcv,eight,304,mpfi,3.80,3.35,8.0,184.0,4500,16.785714285714285,16,45400.0,Medium
75,1,140,mercury,gas,turbo,two,hatchback,rwd,front,102.7,0.35264893886144,68.0,54.8,2910,ohc,four,140,mpfi,3.78,3.12,8.0,175.0,5000,12.368421052631579,24,16503.0,Medium
76,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,-1.3576134056224138,64.4,50.8,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500,6.351351351351352,41,5389.0,Low
77,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,-1.3576134056224138,64.4,50.8,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500,7.580645161290323,38,6189.0,Low
78,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,-1.3576134056224138,64.4,50.8,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500,7.580645161290323,38,6669.0,Low
79,1,161,mitsubishi,gas,turbo,two,hatchback,fwd,front,93.0,-1.3576134056224138,63.8,50.8,2145,ohc,four,98,spdi,3.03,3.39,7.6,102.0,5500,9.791666666666666,30,7689.0,Low
80,3,153,mitsubishi,gas,turbo,two,hatchback,fwd,front,96.3,-0.08504853318656254,65.4,49.4,2370,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500,10.217391304347826,30,9959.0,Low
81,3,153,mitsubishi,gas,std,two,hatchback,fwd,front,96.3,-0.08504853318656254,65.4,49.4,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000,9.4,32,8499.0,Low
82,3,140,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,-0.06883751570330415,66.3,50.2,2833,ohc,four,156,spdi,3.58,3.86,7.0,145.0,5000,12.368421052631579,24,12629.0,Medium
83,3,140,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,-0.06883751570330415,66.3,50.2,2921,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000,12.368421052631579,24,14869.0,Medium
84,3,140,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,-0.06883751570330415,66.3,50.2,2926,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000,12.368421052631579,24,14489.0,Medium
85,1,125,mitsubishi,gas,std,four,sedan,fwd,front,96.3,-0.13368158563633956,65.4,51.6,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000,9.4,32,6989.0,Low
86,1,125,mitsubishi,gas,std,four,sedan,fwd,front,96.3,-0.13368158563633956,65.4,51.6,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000,9.4,32,8189.0,Low
87,1,125,mitsubishi,gas,turbo,four,sedan,fwd,front,96.3,-0.13368158563633956,65.4,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500,10.217391304347826,30,9279.0,Low
88,-1,137,mitsubishi,gas,std,four,sedan,fwd,front,96.3,-0.13368158563633956,65.4,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500,10.217391304347826,30,9279.0,Low
89,1,128,nissan,gas,std,two,sedan,fwd,front,94.5,-0.709172706292043,63.8,54.5,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200,7.580645161290323,37,5499.0,Low
90,1,128,nissan,diesel,std,two,sedan,fwd,front,94.5,-0.709172706292043,63.8,54.5,2017,ohc,four,103,idi,2.99,3.47,21.9,55.0,4800,5.222222222222222,50,7099.0,Low
91,1,128,nissan,gas,std,two,sedan,fwd,front,94.5,-0.709172706292043,63.8,54.5,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200,7.580645161290323,37,6649.0,Low
92,1,122,nissan,gas,std,four,sedan,fwd,front,94.5,-0.709172706292043,63.8,54.5,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200,7.580645161290323,37,6849.0,Low
93,1,103,nissan,gas,std,four,wagon,fwd,front,94.5,-0.312002777952193,63.8,53.5,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200,7.580645161290323,37,7349.0,Low
94,1,128,nissan,gas,std,two,sedan,fwd,front,94.5,-0.709172706292043,63.8,54.5,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200,7.580645161290323,37,7299.0,Low
95,1,128,nissan,gas,std,two,hatchback,fwd,front,94.5,-0.6848561800671545,63.8,53.3,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200,7.580645161290323,37,7799.0,Low
96,1,122,nissan,gas,std,four,sedan,fwd,front,94.5,-0.709172706292043,63.8,54.5,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200,7.580645161290323,37,7499.0,Low
97,1,103,nissan,gas,std,four,wagon,fwd,front,94.5,-0.312002777952193,63.8,53.5,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200,7.580645161290323,37,7999.0,Low
98,2,168,nissan,gas,std,two,hardtop,fwd,front,95.1,-0.9442324597993017,63.8,53.3,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200,7.580645161290323,37,8249.0,Low
99,0,106,nissan,gas,std,four,hatchback,fwd,front,97.2,-0.05262649822004203,65.2,54.7,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97.0,5200,8.703703703703704,34,8949.0,Low
100,0,106,nissan,gas,std,four,sedan,fwd,front,97.2,-0.05262649822004203,65.2,54.7,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97.0,5200,8.703703703703704,34,9549.0,Low
101,0,128,nissan,gas,std,four,sedan,fwd,front,100.4,0.6201307273352155,66.5,55.1,3095,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200,13.823529411764707,22,13499.0,Medium
102,0,108,nissan,gas,std,four,wagon,fwd,front,100.4,0.8551904808424761,66.5,56.1,3296,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200,13.823529411764707,22,14399.0,Medium
103,0,108,nissan,gas,std,four,sedan,fwd,front,100.4,0.8551904808424761,66.5,55.1,3060,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200,12.368421052631579,25,13499.0,Medium
104,3,194,nissan,gas,std,two,hatchback,rwd,front,91.3,-0.27147523424404424,67.9,49.7,3071,ohcv,six,181,mpfi,3.43,3.27,9.0,160.0,5200,12.368421052631579,25,17199.0,Medium
105,3,194,nissan,gas,turbo,two,hatchback,rwd,front,91.3,-0.27147523424404424,67.9,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200.0,5200,13.823529411764707,23,19699.0,Medium
106,1,231,nissan,gas,std,two,hatchback,rwd,front,99.2,0.36075444760306824,67.9,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,9.0,160.0,5200,12.368421052631579,25,18399.0,Medium
107,0,161,peugot,gas,std,four,sedan,rwd,front,107.9,1.0254061644166974,68.4,56.7,3020,l,four,120,mpfi,3.46,3.19,8.4,97.0,5000,12.368421052631579,24,11900.0,Low
108,0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,1.0254061644166974,68.4,56.7,3197,l,four,152,idi,3.70,3.52,21.0,95.0,4150,8.392857142857142,33,13200.0,Low
109,0,140,peugot,gas,std,four,wagon,rwd,front,114.2,2.014278230895515,68.4,58.7,3230,l,four,120,mpfi,3.46,3.19,8.4,97.0,5000,12.368421052631579,24,12440.0,Low
110,0,140,peugot,diesel,turbo,four,wagon,rwd,front,114.2,2.014278230895515,68.4,58.7,3430,l,four,152,idi,3.70,3.52,21.0,95.0,4150,9.4,25,13860.0,Low
111,0,161,peugot,gas,std,four,sedan,rwd,front,107.9,1.0254061644166974,68.4,56.7,3075,l,four,120,mpfi,3.46,2.19,8.4,95.0,5000,12.368421052631579,24,15580.0,Low
112,0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,1.0254061644166974,68.4,56.7,3252,l,four,152,idi,3.70,3.52,21.0,95.0,4150,8.392857142857142,33,16900.0,Low
113,0,140,peugot,gas,std,four,wagon,rwd,front,114.2,2.014278230895515,68.4,56.7,3285,l,four,120,mpfi,3.46,2.19,8.4,95.0,5000,12.368421052631579,24,16695.0,Low
114,0,140,peugot,diesel,turbo,four,wagon,rwd,front,114.2,2.014278230895515,68.4,58.7,3485,l,four,152,idi,3.70,3.52,21.0,95.0,4150,9.4,25,17075.0,Low
115,0,161,peugot,gas,std,four,sedan,rwd,front,107.9,1.0254061644166974,68.4,56.7,3075,l,four,120,mpfi,3.46,3.19,8.4,97.0,5000,12.368421052631579,24,16630.0,Low
116,0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,1.0254061644166974,68.4,56.7,3252,l,four,152,idi,3.70,3.52,21.0,95.0,4150,8.392857142857142,33,17950.0,Low
117,0,161,peugot,gas,turbo,four,sedan,rwd,front,108.0,1.0254061644166974,68.3,56.0,3130,l,four,134,mpfi,3.61,3.21,7.0,142.0,5600,13.055555555555555,24,18150.0,Medium
118,1,119,plymouth,gas,std,two,hatchback,fwd,front,93.7,-1.3576134056224138,63.8,50.8,1918,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500,6.351351351351352,41,5572.0,Low
119,1,119,plymouth,gas,turbo,two,hatchback,fwd,front,93.7,-1.3576134056224138,63.8,50.8,2128,ohc,four,98,spdi,3.03,3.39,7.6,102.0,5500,9.791666666666666,30,7957.0,Low
120,1,154,plymouth,gas,std,four,hatchback,fwd,front,93.7,-1.3576134056224138,63.8,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500,7.580645161290323,38,6229.0,Low
121,1,154,plymouth,gas,std,four,sedan,fwd,front,93.7,-0.5470625314594498,63.8,50.8,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500,7.580645161290323,38,6692.0,Low
122,1,154,plymouth,gas,std,four,sedan,fwd,front,93.7,-0.5470625314594498,63.8,50.8,2191,ohc,four,98,2bbl,2.97,3.23,9.4,68.0,5500,7.580645161290323,38,7609.0,Low
123,-1,74,plymouth,gas,std,four,wagon,fwd,front,103.3,0.044639606679512014,64.6,59.8,2535,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000,9.791666666666666,30,8921.0,Low
124,3,140,plymouth,gas,turbo,two,hatchback,rwd,front,95.9,-0.06883751570330415,66.3,50.2,2818,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000,12.368421052631579,24,12764.0,Medium
125,3,186,porsche,gas,std,two,hatchback,rwd,front,94.5,-0.41737439159337714,68.3,50.2,2778,ohc,four,151,mpfi,3.94,3.11,9.5,143.0,5500,12.368421052631579,27,22018.0,Medium
126,3,140,porsche,gas,std,two,hardtop,rwd,rear,89.5,-0.41737439159337714,65.0,51.6,2756,ohcf,six,194,mpfi,3.74,2.90,9.5,207.0,5900,13.823529411764707,25,32528.0,Medium
127,3,140,porsche,gas,std,two,hardtop,rwd,rear,89.5,-0.41737439159337714,65.0,51.6,2756,ohcf,six,194,mpfi,3.74,2.90,9.5,207.0,5900,13.823529411764707,25,34028.0,Medium
128,3,140,porsche,gas,std,two,convertible,rwd,rear,89.5,-0.41737439159337714,65.0,51.6,2800,ohcf,six,194,mpfi,3.74,2.90,9.5,207.0,5900,13.823529411764707,25,37028.0,Medium
129,1,140,porsche,gas,std,two,hatchback,rwd,front,98.4,0.1338002028374378,72.3,50.5,3366,dohcv,eight,203,mpfi,3.94,3.11,10.0,288.0,5750,13.823529411764707,28,104.25615763546799,High
130,0,140,renault,gas,std,four,wagon,fwd,front,96.1,0.6039197098519571,66.5,55.2,2579,ohc,four,132,mpfi,3.46,3.90,8.7,104.25615763546799,104.25615763546799,10.217391304347826,31,9295.0,Low
131,2,140,renault,gas,std,two,hatchback,fwd,front,96.1,0.22296079899536544,66.6,50.5,2460,ohc,four,132,mpfi,3.46,3.90,8.7,104.25615763546799,104.25615763546799,10.217391304347826,31,9895.0,Low
132,3,150,saab,gas,std,two,hatchback,fwd,front,99.1,1.0173006556750674,66.5,56.1,2658,ohc,four,121,mpfi,3.54,3.07,9.31,110.0,5250,11.19047619047619,28,11850.0,Low
